label,Main_Label,Sub_Label,Label_Identification,product,uri,upc,ean,isrc,song_name,artist_name,composer_name,album_name,total,file_name,income,admin_Exp,royality
"RHYFIL","Danka Music","RHYFIL","PDL","PDIB","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","PDS","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","PDS","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","3","Streaming","0.07304858","0.01095729","0.06209129"
"RHYFIL","Danka Music","RHYFIL","PDL","SEA3FOR1","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","17","Streaming","4.03053065","0.60457960","3.42595105"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.23709004","0.03556351","0.20152653"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","1","Streaming","0.23709004","0.03556351","0.20152653"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:1tcAT7htofUHvlK8WGpzLq","","1.94E+12","INR1L2100001","Adneyachya Waata","Jasraj Joshi  Sanket Puranik  Mahesh Aphale","Sanket Puranik  Mahesh Aphale","Adneyachya Waata","1","Streaming","0.23709004","0.03556351","0.20152653"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:4DTW0igfwXbeXNSZawxyZs","","1.94E+12","INR1L2100117","Diwali Hai Ye","Nakash Aziz  Tapanjyoti Datta","Tapanjyoti Datta  Sanjay Datar","Diwali Hai Ye","1","Streaming","0.23709004","0.03556351","0.20152653"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","4","Streaming","0.03191656","0.00478748","0.02712908"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","2","Streaming","0.14548882","0.02182332","0.12366549"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","76","Streaming","0.44416678","0.06662502","0.37754176"
"RHYFIL","Danka Music","RHYFIL","PDL","DUO","spotify:track:4XxHluZcUjXKcHmd0N0wWN","","8.91E+12","INR1L2100156","Rama Rama","Raghunandan Panshikar","Ketaki Vaidya  Varsha Bhave","Rama Rama","1","Streaming","0.16443349","0.02466502","0.13976847"
"RHYFIL","Danka Music","RHYFIL","PDL","DUO","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.16443349","0.02466502","0.13976847"
