song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality
"srch_pplmumbai_INR1L2100147","INR1L2100147","Aao Phirse Diya Jalaye","Aao Phirse Diya Jalaye","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Jaydeep Vaidya Ajay Naik","srch_pplmumbai_000RAPDJ81D2021","6","Mumbai","0.36043644","0.05406547","0.30637097"
"srch_pplmumbai_INR1L2100001","INR1L2100001","Adneyachya Waata","Adneyachya Waata","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Sanket Puranik Jasraj Joshi Mahesh Aphale","srch_pplmumbai_000R00AW7FD2021","7","Mumbai","0.42050918","0.06307638","0.35743280"
"srch_pplmumbai_INR1L2100180","INR1L2100180","Tere Liye","Tere Liye","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Kishor Patil","srch_pplmumbai_000R00TL8382022","91","Mumbai","5.46661930","0.81999289","4.64662640"
"srch_pplmumbai_INR1L2100062","INR1L2100062","Tujha Ek Themb","Tujha Ek Themb","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Dr Vivek Muglikar Dhanashree Deshpande","srch_pplmumbai_000R0TETFD02021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INR1L2100020","INR1L2100020","Meri Zindagi Pe","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Shakeel","srch_pplmumbai_000R00SG6522021","12","Mumbai","0.72087287","0.10813093","0.61274194"
"srch_pplmumbai_INR1L2100141","INR1L2100141","Double Karti Chala","Double Karti Chala","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anil Kakde","srch_pplmumbai_000R0DKC3382021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100119","INR1L2100119","Hyach Kombad Majlay","Piru","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Kavita Raam","srch_pplmumbai_000R000PC642021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100078","INR1L2100078","Shehnai Rudrashtakam","Shehnai Rudrashtakam","Unknown","RHYFIL","Danka Music","RHYFIL","PDL","Rajendra Gajanan Salunke Gajanan Salunke Anand Pawar Ft Prathamesh Dhumal","srch_pplmumbai_000R00SRF9C2021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INR1L2100182","INR1L2100182","Tabla Solo vilambit Teen Taal Part 1 Peshkar","Tabla Solo vilambit Teen Taal Part 1","Unknown","RHYFIL","Danka Music","RHYFIL","PDL","Mani Bhardwaj Sandeep Mishra","srch_pplmumbai_000RTSVT7DF2022","84","Mumbai","5.04611012","0.75691652","4.28919360"
"srch_pplmumbai_INR1L2100013","INR1L2100013","Jitney Moonh Hain","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Siraj Ahmed Khan Qaisar Ul Jafri","srch_pplmumbai_000R00SG6522021","5","Mumbai","0.30036370","0.04505456","0.25530914"
"srch_pplmumbai_INR1L2100155","INR1L2100155","Bebhan Man Majhe","Bebhan Man Majhe","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Kkomal Krusshna Shubhankar Ajay Naik","srch_pplmumbai_000R0BMM2152022","33499","Mumbai","2012.37670100","301.85650510","1710.52019600"
"srch_pplmumbai_INR1L2100059","INR1L2100059","Nabh Hulu Hulu Jhale","Tujha Ek Themb","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Dr Vivek Muglikar Sandeep Ubale","srch_pplmumbai_000R0TETFD02021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INI112177847","INI112177847","Lost In Dreams","By Myself","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rough Soul Lit Ink","srch_pplmumbai_000R00BM3A02021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100019","INR1L2100019","Dil Mein Ab Yun","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Faiz","srch_pplmumbai_000R00SG6522021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100074","INR1L2100074","Ekdant Gajanana","Ekdant Gajanana","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Janardhan Dhatrak","srch_pplmumbai_000R00EGFDC2021","37","Mumbai","2.22269136","0.33340370","1.88928766"
"srch_pplmumbai_INI112177850","INI112177850","Sober Nahin","By Myself","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rough Soul","srch_pplmumbai_000R00BM3A02021","1","Mumbai","0.06007274","0.00901091","0.05106183"
